منذ متى لا تزال هذه الأعراض مستمرة تقريبًا؟	about how long have these symptoms been going on?
وينبغي علاج كل آلام الصدر بهذه الطريقة خاصة في عمرك	and all chest pain should be treated this way especially with your age
وبالإضافة إلى الحمى	and along with a fever
ويلزم أيضًا فحص ضغط كوليسترول الدم لديك	and also needs to be checked your cholesterol blood pressure
وهل تعاني من الحمى الآن؟	and are you having a fever now?
وهل لديك أي من الأعراض التالية بالإضافة إلى ألم الصدر	and are you having any of the following symptoms with your chest pain
وهل لديك سيلان أنف؟	and are you having a runny nose?
وهل تشعر بهذا الألم في الصدر الآن؟	and are you having this chest pain now?
وبالإضافة إلى ذلك هل لديك صعوبة في التنفس	and besides do you have difficulty breathing
وهل يمكنك إخباري بالأعراض الأخرى التي لديك بالإضافة إلى هذا؟	and can you tell me what other symptoms are you having along with this?
وهل ينتقل هذا الألم من الصدر؟	and does this pain move from your chest?
وشرب الكثير من السوائل	and drink lots of fluids
وما مدى ارتفاع درجة الحرارة الذي أصابك	and how high has your fever been
وأعاني من السعال أيضًا	and i have a cough too
وأعاني من القليل من البرد والسعال	and i have a little cold and a cough
وأعاني من بعض آلام الصدر الشديدة اليوم	and i'm really having some bad chest pain today
وهل هذا هو الوقت الصحيح لحمى القش التي تصيبك	and is this the right time for your hay fever
ويحدث ألم في الصدر	and it get the chest pain
وأعتقد أن لدي قدرًا بسيطًا من الحمى	and i think i have a little bit of a fever
وأريد منك وصف مكان الشعور بألم في الصدر	and i want you to describe where the chest pain is
وهي لديها أعراض مماثلة نوعًا ما	and she is sorta have the same symptoms
وأخبرني ما الأعراض التي لديك الآن؟	and tell me what symptoms are you having now?
ويعانون كذلك من بعض الحمى	and they're having some fevers as well
ومع تاريخ إصابتك بمرض السكري	and with your history of diabetes
وكما تعلم أشعر كأن صدري سيتحطم	and you know it feels like my chest is like gonna crush
وكما تعلم يسعل الأشخاص تجاهي طوال الوقت	and you know people cough on me all the time
وأنت تشعر بألم في الصدر	and you're having chest pain
ولا تتلاشى أعراضك خلال خمسة أيام	and your symptoms do not go away in five days
وقلت إن هذا ضغط في صدرك	and you said this is a pressure in your chest
يعاني أي فرد في العائلة من مشكلة بالقلب، أو مرض قلبي، أو نوبة قلبية، أو ارتفاع الكوليسترول، أو ارتفاع ضغط الدم.	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure
هل هناك أي أعراض أو مشكلات أخرى لاحظتها بالإضافة إلى ألم العضلات؟	any other symptoms or problems that you notice with the muscle aches?
هل هناك أي ألم حاد في الجانب الأيسر من الصدر؟	any sharp pain on your left side of your chest?
هل يوجد أفراد آخرون في المنزل مصابون بالأعراض نفسها التي لديك؟	are there other people sick as you at home with your same symptoms?
هل تشعر بأي صعوبة في التنفس الآن	are you having any difficulty breathing now
هل تشعر بأي أعراض أخرى؟	are you having any other symptoms?
هل تشعر بأي ضيق في التنفس؟	are you having any shortness of breath?
هل لا تزال تشعر بألم في الصدر	are you still having the chest pain
لأن هذا موسم الإصابة بالإنفلونزا	because this is flu season
بالإضافة إلى مرض السكري هل لديك أي مشكلات أو أمراض مهمة أخرى؟	besides the diabetes do you have other problems or important diseases?
لكن لا ينبغي علينا أيضًا تجاهل ألم الصدر الناجم عن مرض القلب	but also we shouldn't be put aside for the heart cardiac origin chest pain
لكن المشكلة الأهم الآن هي ألم الصدر هذا	but a more important problem now is this chest pain
لكن إذا كان لديك سعال	but if you have the cough
لكن أعاني من صعوبة في التنفس	but i have difficulty breathing
لكن أعرف كثيرين يسعلون تجاهي	but i know lot of people cough on me
لكن نحتاج إلى التعامل مع كل ألم بالصدر بأقصى قدر من الجدية	but we need to treat every chest pain with the utmost seriousness
لكن تتنفس بشكل سليم الآن، أليس كذلك؟	but you're breathing all right right now right?
نسيت تمامًا بسبب ألم الصدر هذا	'cause of this chest pain i totally forgot
لأنهم يعانون من السعال	'cause they're having a cough
هل تشعر كما لو أن أحدهم يضغط على صدرك	does it feel like somebody squeezing your chest
هل لا يزال لديك شعور بما يشبه ضيق التنفس	do still feel like shortness of breath
هل يشتكون من أعراض مرضية مماثلة؟	do they complain of being sick similar symptoms?
هل لديك أي مشكلة تتعلق بضغط الدم حسب علمك؟	do you have any blood pressure problem as far as you know?
هل لديك أي مرض مزمن آخر مثل ارتفاع ضغط الدم أو أي مما يشبه ذلك؟	do you have any other chronic like high blood pressure or anything like that?
هل لديك أي أمراض أخرى مشكلات طبية مزمنة مثل مرض السكري؟	do you have any other diseases chronic medical problems like diabetes?
هل تشعر بأي ضيق تنفس مع ألم الصدر ذلك؟	do you have any shortness of breath with that chest pain?
